,batter_name,pitch_number,pitcher_handedness,batter_handedness,inning,outs,strikes,outs_on_play,velocity,vertical_release_angle,horizontal_release_angle,spin_rate,release_height,extension,vertical_break,induced_vertical_break,horizontal_break,height_at_plate,side_at_plate,zone_speed,vertical_approach_angle,horz_approach_angle,zone_time,exit_velocity,launch_angle,direction,hit_spin_rate,position_at_110x,position_at_110y,position_at_110z,distance,last_tracked_distance,bearing,hang_time,pfxx,pfxz,vx0,vy0,vz0,ax,ay,play_result,traditional_cluster,distance_needed,potential_coverage,fielder_play_result,custom_cluster
62,"Seymour, Bobby",168.0,1,1,6.0,1.0,0.0,0.0,91.9735757,-1.7851770340000002,-2.854685682,2365.086791,5.482931112999999,6.601099747,-16.27157632,16.00696692,-1.402264151,2.4891990369999997,-0.917221136,83.63077789,-4.882702661000001,-3.122304353,0.408910706,103.6626334,18.87539246,27.69848288,1978.683955,94.87762694,32.75971788,55.66148199999999,364.7483113,141.6835607,37.58939197,3.7869342039999996,-0.079210362,9.408970465,6.710763277000001,-133.7644945,-4.6454392989999995,-0.142434268,30.88661342,1,9.0,-69.75180863271835,113.60802611999999,0.0,3.0
63,"Seymour, Bobby",56.0,0,0,2.0,0.0,1.0,0.0,83.41234328,-1.4572084269999999,2.142509137,1968.746376,6.1559683629999995,5.508182936,-26.32155937,14.22236902,-11.71000751,2.598706035,0.22029442600000002,76.55317645,-6.347456732,-0.043095682,0.458283722,106.2693746,-9.21159703,-17.83187099,,,,,14.97067182,13.23226879,-18.43638869,0.09751403800000001,6.806956256,7.957048133,-4.15564351,-121.2627457,-3.943203542,10.15981886,23.18078461,1,6.0,131.1590468192955,2.9254211400000005,1.0,6.0
64,"Seymour, Bobby",240.0,0,0,7.0,1.0,1.0,0.0,79.86118257,1.977265524,4.010530427,1927.4401690000002,4.273609426,6.790404027999999,-37.1145879,5.33482173,-16.81199991,2.990453545,-0.21750876100000002,72.74194368,-5.116204835,0.7949155920000001,0.468929274,102.610043,0.802609496,-13.62238535,2347.764751,,,,67.82916464,63.75514987,-15.38308815,0.47640441899999997,10.532727099999999,2.40375429,-7.731136565,-116.0586721,3.120487125,14.3154174,22.43501668,1,6.0,78.18766932901966,14.29213257,1.0,6.0
65,"Seymour, Bobby",190.0,1,1,5.0,1.0,1.0,0.0,89.82366273,-0.9411054759999999,-0.51974556,2226.2974600000002,5.585185159,6.361001366,-27.00675503,6.99017253,1.235506429,2.4685429869999997,0.325746308,81.964843,-6.059277346,-0.28457525300000003,0.419653987,109.73419369999999,10.54904686,5.202014125,,109.38664709999999,19.39816187,11.59920802,297.0013392,295.7938606,6.531667206,2.679281616,-0.8314066040000001,4.116212111,1.149727339,-130.8035257,-2.9544864,-1.432468176,29.01479367,1,8.0,24.787107523875292,80.37844848,0.0,3.0
66,"Seymour, Bobby",270.0,1,1,8.0,1.0,0.0,1.0,89.07518292,-1.095756383,-2.660432621,2209.826191,6.241841674,5.840159988,-27.95347074,7.741467462,11.45363054,2.8929329580000003,-0.673921854,80.37725174,-6.369211009,-0.49123337100000003,0.430006317,74.78736481,0.834753348,-21.78222975,3552.167981,,,,46.84191622,45.39424923,-22.36373902,0.448673706,-7.053450969,4.5396376,5.641114299,-129.3678521,-3.380536958,-11.76368617,30.98611556,0,6.0,99.63943796410778,13.46021118,0.0,6.0
67,"Seymour, Bobby",199.0,1,1,6.0,0.0,2.0,1.0,84.62011559999999,-1.127094314,-0.671619352,1553.756315,6.299133359,5.692125936,-29.5081393,10.46610348,5.822205667,2.789651449,1.210145587,75.91372997,-6.696430148999999,0.43326178200000004,0.455052643,91.43383637,19.35220954,-28.30446133,4095.829766,92.33180066,32.92626926,-59.78985983,277.2343521,165.7508156,-39.50494122,3.152444458,-3.36864603,6.027802222,1.258570254,-122.92234199999999,-3.342923919,-5.033874829,29.66593515,0,7.0,19.808645997852526,94.57333374000001,0.0,0.0
68,"Seymour, Bobby",90.0,0,0,3.0,0.0,2.0,1.0,91.0506027,-2.3093583,3.065328136,2074.6972739999997,6.461767087,6.172886417000001,-14.01744386,19.24468259,-8.858874319,3.156877264,0.35503189399999996,83.30242755,-4.950160607,1.393171238,0.415094065,106.16823290000002,-1.26300851,-15.60986693,2435.956001,,,,47.25673953,45.47684564,-17.47688389,0.315053101,5.664401046,11.11459857,-6.807506991,-132.3345377,-5.786120627000001,10.05995609,27.84019795,0,6.0,98.8092233928522,9.45159303,0.0,6.0
69,"Seymour, Bobby",197.0,0,0,5.0,1.0,2.0,1.0,77.42336367,-0.247114785,2.35994679,1240.52593,5.576924032000001,4.847103719,-51.3707432,-2.4278833680000003,2.926536028,1.061914717,1.3999891580000001,70.62107218,-9.695695864,2.90310892,0.503519379,61.624672499999996,7.112115131,-9.317002407999999,2284.1771120000003,,,,80.49104048,76.88375189,-12.72929781,0.9731817629999999,-0.7800688020000001,-1.187875992,-4.725038874,-112.3144413,-2.1755560480000002,-0.983422355,22.81908081,0,6.0,65.56387918260845,29.19545289,0.0,6.0
70,"Seymour, Bobby",293.0,1,1,8.0,1.0,1.0,1.0,83.24313998,2.420357717,-4.7230173639999995,2074.6381699999997,4.402722348999999,6.26470206,-46.22406795,-5.826439242,14.03403295,2.790830873,0.093029569,75.06819734,-6.3635552010000005,-2.0538177980000003,0.45745613399999996,102.0682444,-3.37977219,-0.8817626129999999,,,,,26.2517483,23.90016408,-1.128565604,0.175762329,-9.218460521,-3.9763805010000004,9.575844955,-120.6331773,3.8291611089999997,-13.38337024,26.70301883,0,6.0,120.26329027513025,5.27286987,0.0,2.0
71,"Seymour, Bobby",140.0,0,0,4.0,0.0,2.0,0.0,87.38378092,0.071639923,2.678294202,2152.547746,5.724178116,4.994015975,-24.04252901,13.52564479,-14.21706755,3.788337284,0.28634129,80.13717772,-4.36066612,0.054253512999999996,0.441145202,88.32348052,14.97009901,-22.32208542,3514.335366,97.52381299,22.94342769,-50.88321422,224.79073680000002,224.01349669999996,-33.1547758,2.4420098880000003,8.114571604,7.035918457999999,-5.413496857,-126.96292620000001,-0.730121833,13.324009,24.54643547,1,7.0,72.36062863674312,73.26029664,0.0,0.0
72,"Seymour, Bobby",154.0,0,0,5.0,1.0,0.0,0.0,93.38567682,-0.95750066,3.549460573,2079.418294,5.710507896,6.251878519,-22.51319342,9.136753019,-14.74843532,2.949753732,-0.8906565329999999,85.08584801,-5.217208653999999,0.754910777,0.404909539,84.06827290000001,-9.264892947,-1.5729243880000001,,,,,15.42412982,13.63213291,1.4385146640000002,0.129301147,9.088646822000001,5.272733556,-7.951581785,-135.72749140000002,-2.986382915,16.89516557,30.67116176,1,6.0,130.99153323433765,3.87903441,1.0,2.0
